"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"24.12.2025","483.776","484.583","486.459","480.452","0,02K","-0,21%"
"23.12.2025","484.791","495.425","497.971","481.786","0,02K","-2,13%"
"22.12.2025","495.352","491.989","502.809","488.675","0,02K","0,68%"
"21.12.2025","491.989","491.351","495.000","487.388","0,01K","0,13%"
"20.12.2025","491.351","490.806","492.463","488.500","0,01K","0,11%"
"19.12.2025","490.806","473.074","492.426","470.973","0,02K","3,75%"
"18.12.2025","473.074","477.091","494.612","466.999","0,02K","-0,80%"
"17.12.2025","476.889","481.299","496.772","471.126","0,02K","-0,92%"
"16.12.2025","481.299","469.220","483.380","463.090","0,03K","2,60%"
"15.12.2025","469.091","479.734","488.177","462.500","0,03K","-2,15%"
"14.12.2025","479.376","490.514","492.101","476.902","0,01K","-2,27%"
"13.12.2025","490.514","490.820","492.463","488.500","0,01K","-0,06%"
"12.12.2025","490.791","499.958","502.000","479.900","0,03K","-1,83%"
"11.12.2025","499.958","504.413","505.336","483.495","0,03K","-0,88%"
"10.12.2025","504.413","504.553","515.490","498.703","0,03K","-0,03%"
"09.12.2025","504.586","492.843","513.729","487.700","0,03K","2,31%"
"08.12.2025","493.202","495.659","503.999","487.263","0,02K","-0,50%"
"07.12.2025","495.659","489.962","503.010","481.665","0,01K","1,15%"
"06.12.2025","490.027","488.999","494.324","487.358","0,01K","0,21%"
"05.12.2025","488.999","490.384","493.394","477.493","0,03K","-0,28%"
"04.12.2025","490.383","497.250","500.759","483.895","0,02K","-1,38%"
"03.12.2025","497.250","487.275","499.994","485.802","0,02K","2,05%"
"02.12.2025","487.275","463.433","492.463","462.380","0,03K","5,14%"
"01.12.2025","463.433","485.223","485.452","449.113","0,07K","-4,54%"
"30.11.2025","485.482","487.663","493.246","485.002","0,01K","-0,45%"
"29.11.2025","487.663","486.537","488.617","483.598","0,01K","0,15%"
"28.11.2025","486.927","490.567","496.596","482.101","0,03K","-0,74%"
"27.11.2025","490.567","483.881","493.330","481.275","0,03K","1,26%"
"26.11.2025","484.450","471.219","484.756","464.800","0,03K","2,81%"
"25.11.2025","471.219","476.822","477.717","465.301","0,03K","-1,18%"
"24.11.2025","476.829","470.938","481.600","460.775","0,05K","1,26%"
"23.11.2025","470.901","459.595","478.323","459.595","0,03K","2,46%"
"22.11.2025","459.595","461.844","464.294","453.346","0,03K","-0,43%"
"21.11.2025","461.601","463.565","468.097","434.273","0,11K","-0,41%"
"20.11.2025","463.510","489.073","496.576","460.848","0,05K","-5,23%"
"19.11.2025","489.073","495.972","495.972","471.655","0,05K","-1,35%"
"18.11.2025","495.770","491.731","499.595","476.801","0,07K","0,82%"
"17.11.2025","491.731","501.403","510.000","487.014","0,05K","-1,92%"
"16.11.2025","501.342","508.020","513.764","492.500","0,03K","-1,31%"
"15.11.2025","508.020","502.436","514.605","502.436","0,03K","1,11%"
"14.11.2025","502.436","529.265","529.841","500.010","0,08K","-5,07%"
"13.11.2025","529.279","538.694","551.184","519.801","0,04K","-1,80%"
"12.11.2025","538.996","545.165","556.466","534.112","0,02K","-1,13%"
"11.11.2025","545.140","563.039","569.415","542.000","0,05K","-3,10%"
"10.11.2025","562.553","561.527","571.415","556.359","0,02K","0,19%"
"09.11.2025","561.513","548.304","564.560","543.001","0,02K","2,40%"
"08.11.2025","548.348","552.380","552.471","542.718","0,01K","-0,73%"
"07.11.2025","552.380","543.755","556.203","532.930","0,04K","1,59%"
"06.11.2025","543.755","557.377","558.918","538.116","0,03K","-2,47%"
"05.11.2025","557.515","549.640","560.886","536.501","0,06K","1,33%"
"04.11.2025","550.175","572.159","576.542","536.112","0,08K","-3,84%"
"03.11.2025","572.159","593.774","595.000","563.040","0,04K","-3,64%"
"02.11.2025","593.774","591.767","597.847","588.136","0,01K","0,34%"
"01.11.2025","591.767","590.002","595.299","589.113","0,02K","0,25%"
"31.10.2025","590.294","584.792","599.243","584.402","0,04K","0,90%"
"30.10.2025","585.000","590.551","598.560","572.934","0,05K","-0,94%"
"29.10.2025","590.551","606.270","609.000","588.000","0,03K","-2,63%"
"28.10.2025","606.512","613.494","623.592","602.284","0,02K","-1,11%"
"27.10.2025","613.327","616.364","625.799","612.000","0,03K","-0,49%"
"26.10.2025","616.364","602.617","620.099","600.406","0,02K","2,28%"
"25.10.2025","602.618","600.121","604.992","598.205","0,01K","0,44%"
"24.10.2025","599.999","593.978","602.109","591.391","0,03K","1,01%"
"23.10.2025","593.978","582.500","599.807","581.800","0,02K","1,95%"
"22.10.2025","582.619","584.717","589.480","577.334","0,03K","-0,37%"
"21.10.2025","584.791","596.072","613.159","580.221","0,04K","-1,89%"
"20.10.2025","596.072","589.902","606.002","583.150","0,04K","1,07%"
"19.10.2025","589.770","582.233","593.994","576.133","0,02K","1,29%"
"18.10.2025","582.233","577.932","583.409","577.421","0,02K","0,74%"
"17.10.2025","577.932","590.714","597.427","567.506","0,08K","-2,16%"
"16.10.2025","590.712","605.491","612.000","586.793","0,06K","-2,44%"
"15.10.2025","605.491","622.400","624.213","602.025","0,04K","-2,72%"
"14.10.2025","622.400","632.684","634.031","605.961","0,06K","-1,63%"
"13.10.2025","632.721","642.046","646.015","625.002","0,03K","-1,45%"
"12.10.2025","642.063","624.680","650.997","616.930","0,03K","2,80%"
"11.10.2025","624.579","631.083","633.528","615.000","0,08K","-1,37%"
"10.10.2025","633.276","654.833","664.807","585.010","0,07K","-3,29%"
"09.10.2025","654.833","659.350","661.250","643.383","0,03K","-0,74%"
"08.10.2025","659.691","650.507","665.247","650.105","0,05K","1,41%"
"07.10.2025","650.507","662.750","667.724","646.000","0,05K","-1,88%"
"06.10.2025","662.980","660.300","670.000","657.942","0,06K","0,41%"
"05.10.2025","660.299","655.200","670.000","653.521","0,03K","0,79%"
"04.10.2025","655.098","654.555","657.101","650.563","0,02K","0,09%"
"03.10.2025","654.523","644.895","661.966","638.001","0,06K","1,49%"
"02.10.2025","644.902","632.000","646.679","629.440","0,07K","2,11%"
"01.10.2025","631.550","607.709","632.000","607.355","0,06K","3,96%"
"30.09.2025","607.491","608.556","611.336","599.742","0,04K","-0,19%"
"29.09.2025","608.675","601.566","609.985","596.099","0,03K","1,23%"
"28.09.2025","601.305","588.637","602.956","586.505","0,01K","2,15%"
"27.09.2025","588.634","589.215","589.331","585.488","0,01K","-0,10%"
"26.09.2025","589.215","586.212","590.490","582.901","0,03K","0,51%"
"25.09.2025","586.212","603.355","604.243","582.592","0,04K","-2,84%"
"24.09.2025","603.354","593.119","607.562","590.002","0,03K","1,73%"
"23.09.2025","593.119","602.877","605.998","590.174","0,03K","-1,62%"
"22.09.2025","602.879","615.063","615.667","599.001","0,04K","-1,98%"
"21.09.2025","615.063","618.678","619.010","614.441","0,01K","-0,58%"
"20.09.2025","618.678","618.857","621.000","617.397","0,01K","-0,03%"
"19.09.2025","618.857","622.881","624.547","613.372","0,01K","-0,65%"
"18.09.2025","622.881","618.938","626.965","617.653","0,02K","0,64%"
"17.09.2025","618.938","619.993","622.893","609.724","0,03K","-0,17%"
"16.09.2025","619.991","615.065","620.999","610.215","0,02K","0,77%"
"15.09.2025","615.242","620.411","626.618","609.114","0,03K","-0,83%"
"14.09.2025","620.411","623.153","624.380","619.101","0,01K","-0,44%"
"13.09.2025","623.153","623.691","625.386","619.570","0,01K","-0,12%"
"12.09.2025","623.898","623.738","627.950","616.503","0,03K","0,08%"
"11.09.2025","623.400","616.963","623.614","613.000","0,02K","0,98%"
"10.09.2025","617.328","607.202","618.873","603.810","0,02K","1,67%"
"09.09.2025","607.202","609.650","614.083","601.661","0,02K","-0,40%"
"08.09.2025","609.650","604.505","614.453","602.527","0,04K","0,79%"
"07.09.2025","604.850","600.632","607.298","599.906","0,01K","0,70%"
"06.09.2025","600.632","602.362","606.433","598.360","0,02K","-0,21%"
"05.09.2025","601.894","604.660","616.099","596.736","0,03K","-0,51%"
"04.09.2025","604.956","610.222","612.799","598.116","0,02K","-0,86%"
"03.09.2025","610.222","609.786","615.387","605.197","0,03K","0,07%"
"02.09.2025","609.786","597.292","610.799","594.312","0,04K","2,09%"
"01.09.2025","597.292","591.895","598.907","586.114","0,04K","0,91%"
"31.08.2025","591.895","595.206","598.997","591.000","0,01K","-0,56%"
"30.08.2025","595.200","592.007","595.599","586.003","0,03K","0,54%"
"29.08.2025","592.009","611.271","611.278","585.909","0,06K","-3,15%"
"28.08.2025","611.271","604.254","615.484","602.577","0,02K","1,16%"
"27.08.2025","604.254","608.739","614.996","601.400","0,03K","-0,74%"
"26.08.2025","608.739","599.091","611.864","590.738","0,07K","1,61%"
"25.08.2025","599.091","619.031","619.898","593.400","0,08K","-3,22%"
"24.08.2025","619.031","628.763","630.183","604.980","0,03K","-1,50%"
"23.08.2025","628.451","634.499","636.899","624.500","0,01K","-0,93%"
"22.08.2025","634.364","617.250","636.720","611.411","0,04K","2,79%"
"21.08.2025","617.133","628.102","630.273","615.000","0,04K","-1,77%"
"20.08.2025","628.274","622.942","630.073","615.870","0,05K","0,81%"
"19.08.2025","623.225","633.058","636.203","620.346","0,05K","-1,59%"
"18.08.2025","633.297","637.454","638.338","622.748","0,06K","-0,61%"
"17.08.2025","637.200","637.775","643.921","635.914","0,02K","-0,10%"
"16.08.2025","637.863","636.856","640.264","635.823","0,04K","0,15%"
"15.08.2025","636.900","643.475","648.725","631.386","0,03K","-1,06%"
"14.08.2025","643.722","666.040","670.000","636.959","0,04K","-3,29%"
"13.08.2025","665.626","650.554","667.500","643.000","0,04K","2,32%"
"12.08.2025","650.557","646.864","651.498","642.502","0,03K","0,57%"
"11.08.2025","646.864","651.099","664.629","644.504","0,05K","-0,64%"
"10.08.2025","650.999","635.849","651.545","635.849","0,02K","2,38%"
"09.08.2025","635.849","636.443","641.500","634.856","0,01K","-0,17%"
"08.08.2025","636.954","638.773","640.000","629.011","0,02K","-0,28%"
"07.08.2025","638.773","631.247","639.874","627.355","0,03K","1,19%"
"06.08.2025","631.247","630.001","633.993","623.371","0,03K","0,20%"
"05.08.2025","630.001","635.385","637.391","621.401","0,04K","-0,79%"
"04.08.2025","635.001","635.918","639.859","628.614","0,07K","-0,09%"
"03.08.2025","635.581","627.667","640.998","624.081","0,02K","1,26%"
"02.08.2025","627.667","630.464","635.821","624.517","0,03K","-0,48%"
"01.08.2025","630.700","651.740","654.468","627.501","0,07K","-3,23%"
"31.07.2025","651.742","658.999","666.440","650.300","0,05K","-1,10%"
"30.07.2025","658.999","659.741","665.903","647.300","0,04K","-0,11%"
"29.07.2025","659.741","661.547","667.000","651.800","0,03K","-0,27%"
"28.07.2025","661.547","666.892","668.499","658.001","0,02K","-0,80%"
"27.07.2025","666.892","658.890","668.499","658.003","0,02K","1,21%"
"26.07.2025","658.890","656.077","661.727","654.190","0,01K","0,38%"
"25.07.2025","656.409","655.383","656.411","637.260","0,06K","0,21%"
