"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.12.2025","2,275","2,265","2,284","2,233","1,67K","0,44%"
"06.12.2025","2,265","2,280","2,294","2,260","3,88K","-0,67%"
"05.12.2025","2,280","2,358","2,363","2,223","8,70K","-3,30%"
"04.12.2025","2,358","2,386","2,411","2,330","48,92K","-1,16%"
"03.12.2025","2,386","2,322","2,386","2,300","46,55K","2,77%"
"02.12.2025","2,322","2,081","2,343","2,076","52,85K","11,54%"
"01.12.2025","2,081","2,246","2,246","1,988","25,65K","-7,34%"
"30.11.2025","2,246","2,219","2,246","2,219","22,59K","1,24%"
"29.11.2025","2,219","2,200","2,263","2,200","5,11K","0,85%"
"28.11.2025","2,200","2,326","2,326","2,000","420,14K","-5,42%"
"27.11.2025","2,326","2,335","2,348","2,298","3,09K","-0,37%"
"26.11.2025","2,335","2,280","2,335","2,212","12,96K","2,40%"
"25.11.2025","2,280","2,319","2,319","2,191","13,96K","-1,69%"
"24.11.2025","2,319","2,230","2,319","2,000","29,37K","4,01%"
"23.11.2025","2,230","2,193","2,257","2,193","1,55K","1,67%"
"22.11.2025","2,193","2,229","2,229","2,153","12,64K","-1,62%"
"21.11.2025","2,229","2,315","2,327","2,000","677,30K","-3,69%"
"20.11.2025","2,315","2,465","2,517","2,309","7,42K","-6,11%"
"19.11.2025","2,465","2,537","2,539","2,338","14,24K","-2,86%"
"18.11.2025","2,537","2,482","2,560","2,464","18,97K","2,22%"
"17.11.2025","2,482","2,595","2,643","2,432","434,48K","-4,33%"
"16.11.2025","2,595","2,668","2,679","2,550","26,08K","-2,76%"
"15.11.2025","2,668","2,665","2,731","2,658","5,01K","0,14%"
"14.11.2025","2,665","2,834","2,834","2,639","19,28K","-5,96%"
"13.11.2025","2,834","2,849","3,001","2,724","5,98K","-0,54%"
"12.11.2025","2,849","2,958","3,053","2,849","3,81K","-3,68%"
"11.11.2025","2,958","3,174","3,200","2,951","8,11K","-6,81%"
"10.11.2025","3,174","3,096","3,200","3,085","8,28K","2,51%"
"09.11.2025","3,096","3,043","3,130","2,988","7,56K","1,73%"
"08.11.2025","3,043","3,105","3,119","3,006","3,84K","-1,99%"
"07.11.2025","3,105","2,841","3,128","2,800","30,21K","9,30%"
"06.11.2025","2,841","2,947","2,947","2,782","7,68K","-3,58%"
"05.11.2025","2,947","2,832","2,950","2,713","19,07K","4,05%"
"04.11.2025","2,832","2,974","3,014","2,688","18,33K","-4,78%"
"03.11.2025","2,974","3,249","3,273","2,900","59,28K","-8,45%"
"02.11.2025","3,249","3,280","3,280","3,224","6,56K","-0,96%"
"01.11.2025","3,280","3,292","3,319","3,241","3,11K","-0,38%"
"31.10.2025","3,292","3,224","3,342","3,210","578,70K","2,12%"
"30.10.2025","3,224","3,492","3,492","3,189","7,50K","-7,68%"
"29.10.2025","3,492","3,480","3,517","3,419","3,53K","0,33%"
"28.10.2025","3,480","3,584","3,623","3,450","8,41K","-2,88%"
"27.10.2025","3,584","3,700","3,712","3,584","13,07K","-3,14%"
"26.10.2025","3,700","3,520","3,715","3,520","7,21K","5,11%"
"25.10.2025","3,520","3,556","3,556","3,511","10,95K","-1,02%"
"24.10.2025","3,556","3,442","3,556","3,442","2,72K","3,31%"
"23.10.2025","3,442","3,333","3,499","3,333","2,35K","3,28%"
"22.10.2025","3,333","3,544","3,544","3,332","2,04K","-5,95%"
"21.10.2025","3,544","3,575","3,650","3,453","10,22K","-0,87%"
"20.10.2025","3,575","3,564","3,640","3,480","1,06K","0,32%"
"19.10.2025","3,564","3,432","3,589","3,417","1,46K","3,84%"
"18.10.2025","3,432","3,379","3,470","3,379","3,02K","1,57%"
"17.10.2025","3,379","3,532","3,569","3,286","26,39K","-4,33%"
"16.10.2025","3,532","3,641","3,719","3,477","4,80K","-3,00%"
"15.10.2025","3,641","3,859","3,859","3,622","5,66K","-5,64%"
"14.10.2025","3,859","4,039","4,039","3,683","22,40K","-4,45%"
"13.10.2025","4,039","3,886","4,050","3,886","34,74K","3,93%"
"12.10.2025","3,886","3,576","3,947","3,500","68,22K","8,66%"
"11.10.2025","3,576","4,500","4,500","3,449","35,64K","-20,52%"
"10.10.2025","4,500","4,321","4,500","2,624","62,72K","4,13%"
"09.10.2025","4,321","4,470","4,470","4,298","4,16K","-3,34%"
"08.10.2025","4,470","4,384","4,484","4,350","17,15K","1,96%"
"07.10.2025","4,384","4,622","4,655","4,384","32,62K","-5,15%"
"06.10.2025","4,622","4,501","4,689","4,452","22,51K","2,70%"
"05.10.2025","4,501","4,492","4,602","4,442","6,42K","0,20%"
"04.10.2025","4,492","4,639","4,639","4,467","9,96K","-3,17%"
"03.10.2025","4,639","4,630","4,735","4,537","21,04K","0,19%"
"02.10.2025","4,630","4,511","4,702","4,511","29,71K","2,63%"
"01.10.2025","4,511","4,214","4,516","4,214","13,79K","7,06%"
"30.09.2025","4,214","4,279","4,279","4,175","3,93K","-1,52%"
"29.09.2025","4,279","4,279","4,337","4,207","293,68K","0,00%"
"28.09.2025","4,279","4,232","4,279","4,148","1,15K","1,11%"
"27.09.2025","4,232","4,264","4,264","4,175","2,03K","-0,76%"
"26.09.2025","4,264","4,083","4,268","4,072","12,00K","4,44%"
"25.09.2025","4,083","4,330","4,500","4,045","20,46K","-5,71%"
"24.09.2025","4,330","4,283","4,370","4,100","6,40K","1,11%"
"23.09.2025","4,283","4,430","4,445","4,040","343,95K","-3,34%"
"22.09.2025","4,430","4,730","4,730","4,242","30,93K","-6,33%"
"21.09.2025","4,730","4,773","4,785","4,683","6,78K","-0,91%"
"20.09.2025","4,773","4,786","4,801","4,735","1,30K","-0,27%"
"19.09.2025","4,786","4,900","4,971","4,723","23,46K","-2,33%"
"18.09.2025","4,900","4,835","4,979","4,810","16,66K","1,35%"
"17.09.2025","4,835","4,676","4,901","4,576","9,18K","3,39%"
"16.09.2025","4,676","4,615","4,700","4,542","15,09K","1,33%"
"15.09.2025","4,615","4,785","4,815","4,536","23,05K","-3,57%"
"14.09.2025","4,785","5,000","5,002","4,734","17,19K","-4,29%"
"13.09.2025","5,000","4,892","5,104","4,877","36,80K","2,20%"
"12.09.2025","4,892","4,784","4,898","4,776","9,68K","2,27%"
"11.09.2025","4,784","4,780","4,850","4,703","11,36K","0,08%"
"10.09.2025","4,780","4,695","4,850","4,678","11,95K","1,81%"
"09.09.2025","4,695","4,691","4,836","4,650","12,29K","0,09%"
"08.09.2025","4,691","4,550","4,732","4,360","22,18K","3,10%"
"07.09.2025","4,550","4,352","4,550","4,352","263,97K","4,55%"
"06.09.2025","4,352","4,525","4,563","4,352","228,35K","-3,82%"
"05.09.2025","4,525","4,400","4,581","4,381","2,52K","2,84%"
"04.09.2025","4,400","4,581","4,600","4,387","7,10K","-3,96%"
"03.09.2025","4,581","4,589","4,611","4,524","32,16K","-0,17%"
"02.09.2025","4,589","4,340","4,589","4,340","3,79K","5,74%"
"01.09.2025","4,340","4,460","4,577","4,340","49,27K","-2,70%"
"31.08.2025","4,460","4,459","4,542","4,459","41,40K","0,03%"
"30.08.2025","4,459","4,506","4,589","4,418","5,50K","-1,05%"
"29.08.2025","4,506","4,650","4,650","4,407","12,58K","-3,08%"
"28.08.2025","4,650","4,640","4,743","4,557","49,90K","0,22%"
"27.08.2025","4,640","4,715","4,747","4,624","21,41K","-1,60%"
"26.08.2025","4,715","4,559","4,753","4,510","10,11K","3,43%"
"25.08.2025","4,559","4,943","5,037","4,549","61,17K","-7,76%"
"24.08.2025","4,943","4,991","5,200","4,834","54,39K","-0,97%"
"23.08.2025","4,991","5,023","5,058","4,937","40,18K","-0,63%"
"22.08.2025","5,023","4,718","5,096","4,526","14,57K","6,46%"
"21.08.2025","4,718","4,868","4,908","4,685","10,24K","-3,09%"
"20.08.2025","4,868","4,649","4,901","4,600","24,77K","4,71%"
"19.08.2025","4,649","5,077","5,176","4,649","15,22K","-8,44%"
"18.08.2025","5,077","5,250","5,267","4,863","79,72K","-3,29%"
"17.08.2025","5,250","4,988","5,338","4,950","21,61K","5,26%"
"16.08.2025","4,988","5,092","5,300","4,903","28,31K","-2,04%"
"15.08.2025","5,092","5,003","5,219","4,997","38,13K","1,78%"
"14.08.2025","5,003","4,880","5,433","4,792","113,82K","2,52%"
"13.08.2025","4,880","4,550","4,937","4,525","65,71K","7,25%"
"12.08.2025","4,550","4,235","4,620","4,219","49,46K","7,44%"
"11.08.2025","4,235","4,389","4,526","4,191","28,24K","-3,51%"
"10.08.2025","4,389","4,395","4,560","4,291","5,17K","-0,15%"
"09.08.2025","4,395","4,326","4,493","4,326","4,87K","1,59%"
"08.08.2025","4,326","4,263","4,373","4,199","24,47K","1,49%"
"07.08.2025","4,263","4,083","4,263","4,071","7,21K","4,41%"
"06.08.2025","4,083","4,000","4,085","3,931","4,41K","2,08%"
"05.08.2025","4,000","4,151","4,190","3,974","6,27K","-3,65%"
"04.08.2025","4,151","4,051","4,187","4,051","6,25K","2,49%"
"03.08.2025","4,051","3,913","4,074","3,898","15,08K","3,51%"
"02.08.2025","3,913","3,964","4,032","3,845","11,50K","-1,28%"
"01.08.2025","3,964","4,150","4,175","3,890","77,79K","-4,49%"
"31.07.2025","4,150","4,260","4,411","4,150","11,87K","-2,56%"
"30.07.2025","4,260","4,368","4,395","4,100","44,07K","-2,47%"
"29.07.2025","4,368","4,422","4,503","4,310","19,45K","-1,23%"
"28.07.2025","4,422","4,686","4,735","4,419","72,95K","-5,63%"
"27.07.2025","4,686","4,600","4,686","4,568","5,52K","1,88%"
"26.07.2025","4,600","4,519","4,670","4,519","32,19K","1,78%"
"25.07.2025","4,519","4,445","4,584","4,306","26,67K","1,65%"
"24.07.2025","4,445","4,504","4,596","4,250","27,12K","-1,31%"
"23.07.2025","4,504","5,037","5,037","4,400","34,41K","-10,58%"
"22.07.2025","5,037","4,986","5,090","4,779","27,79K","1,02%"
"21.07.2025","4,986","4,844","5,192","4,728","32,63K","2,94%"
"20.07.2025","4,844","4,651","4,925","4,637","28,96K","4,14%"
"19.07.2025","4,651","4,556","4,678","4,517","36,67K","2,08%"
"18.07.2025","4,556","4,582","4,930","4,478","46,93K","-0,56%"
"17.07.2025","4,582","4,232","4,650","4,149","27,13K","8,26%"
"16.07.2025","4,232","4,160","4,342","4,107","26,34K","1,73%"
"15.07.2025","4,160","4,098","4,160","3,964","22,46K","1,53%"
"14.07.2025","4,098","4,098","4,227","4,059","8,83K","0,00%"
"13.07.2025","4,098","3,916","4,207","3,916","6,35K","4,64%"
"12.07.2025","3,916","3,954","4,111","3,854","18,80K","-0,96%"
"11.07.2025","3,954","3,701","4,300","3,666","193,88K","6,82%"
"10.07.2025","3,701","3,433","3,764","3,398","64,34K","7,83%"
"09.07.2025","3,433","3,201","3,456","3,199","30,38K","7,25%"
"08.07.2025","3,201","3,161","3,227","3,150","16,35K","1,27%"
"07.07.2025","3,161","3,197","3,209","3,160","5,24K","-1,15%"
"06.07.2025","3,197","3,134","3,218","3,118","13,81K","2,02%"
"05.07.2025","3,134","3,117","3,157","3,103","6,17K","0,54%"
"04.07.2025","3,117","3,248","3,309","3,060","13,11K","-4,02%"
"03.07.2025","3,248","3,169","3,315","3,169","24,98K","2,48%"
"02.07.2025","3,169","2,980","3,259","2,949","44,49K","6,34%"
"01.07.2025","2,980","3,136","3,136","2,933","19,79K","-4,96%"
"30.06.2025","3,136","3,206","3,215","3,060","9,68K","-2,19%"
"29.06.2025","3,206","3,138","3,206","3,065","2,47K","2,18%"
"28.06.2025","3,138","3,094","3,142","3,076","3,59K","1,42%"
"27.06.2025","3,094","3,053","3,095","3,003","140,80K","1,35%"
"26.06.2025","3,053","3,145","3,207","3,052","3,26K","-2,91%"
"25.06.2025","3,145","3,217","3,259","3,142","8,96K","-2,27%"
"24.06.2025","3,217","3,222","3,260","3,175","626,54K","-0,14%"
"23.06.2025","3,222","3,018","3,222","2,974","12,90K","6,77%"
"22.06.2025","3,018","3,091","3,099","2,896","12,72K","-2,38%"
"21.06.2025","3,091","3,189","3,257","3,059","1,74K","-3,07%"
"20.06.2025","3,189","3,322","3,329","3,143","4,80K","-4,00%"
"19.06.2025","3,322","3,335","3,410","3,262","6,38K","-0,40%"
"18.06.2025","3,335","3,381","3,409","3,250","9,09K","-1,37%"
"17.06.2025","3,381","3,529","3,529","3,332","4,47K","-4,18%"
"16.06.2025","3,529","3,524","3,625","3,524","4,79K","0,13%"
"15.06.2025","3,524","3,465","3,552","3,465","2,81K","1,71%"
"14.06.2025","3,465","3,585","3,601","3,446","10,02K","-3,36%"
"13.06.2025","3,585","3,710","3,710","3,443","14,70K","-3,37%"
"12.06.2025","3,710","3,924","3,924","3,666","13,44K","-5,45%"
"11.06.2025","3,924","3,964","4,038","3,903","8,14K","-1,01%"
"10.06.2025","3,964","3,914","3,999","3,862","24,13K","1,29%"
"09.06.2025","3,914","3,736","3,941","3,678","29,92K","4,75%"
"08.06.2025","3,736","3,748","3,812","3,698","11,95K","-0,30%"
"07.06.2025","3,748","3,684","3,772","3,667","6,61K","1,74%"
"06.06.2025","3,684","3,544","3,777","3,542","27,07K","3,94%"
"05.06.2025","3,544","3,761","3,870","3,481","6,86K","-5,79%"
"04.06.2025","3,761","3,882","3,977","3,755","1,38K","-3,10%"
"03.06.2025","3,882","3,910","3,976","3,851","3,75K","-0,71%"
"02.06.2025","3,910","3,953","3,953","3,797","27,18K","-1,09%"
"01.06.2025","3,953","3,942","3,963","3,800","14,56K","0,28%"
"31.05.2025","3,942","3,967","4,002","3,836","11,40K","-0,64%"
"30.05.2025","3,967","4,140","4,148","3,932","9,40K","-4,18%"
"29.05.2025","4,140","4,248","4,322","4,118","30,86K","-2,54%"
"28.05.2025","4,248","4,299","4,306","4,185","8,91K","-1,18%"
"27.05.2025","4,299","4,346","4,400","4,279","6,52K","-1,10%"
"26.05.2025","4,346","4,313","4,388","4,276","5,54K","0,77%"
"25.05.2025","4,313","4,235","4,313","4,159","4,39K","1,85%"
"24.05.2025","4,235","4,235","4,346","4,235","5,54K","0,00%"
"23.05.2025","4,235","4,536","4,750","4,235","10,78K","-6,65%"
"22.05.2025","4,536","4,346","4,585","4,336","10,10K","4,37%"
"21.05.2025","4,346","4,248","4,440","4,208","27,59K","2,30%"
"20.05.2025","4,248","4,223","4,248","4,084","4,23K","0,61%"
"19.05.2025","4,223","4,236","4,236","4,064","22,58K","-0,32%"
"18.05.2025","4,236","4,232","4,411","4,120","3,57K","0,10%"
"17.05.2025","4,232","4,339","4,379","4,193","8,34K","-2,46%"
"16.05.2025","4,339","4,387","4,489","4,339","6,74K","-1,11%"
"15.05.2025","4,387","4,500","4,582","4,240","8,68K","-2,50%"
"14.05.2025","4,500","4,657","4,686","4,478","18,13K","-3,38%"
"13.05.2025","4,657","4,643","4,709","4,418","10,38K","0,30%"
"12.05.2025","4,643","4,595","4,900","4,475","39,46K","1,06%"
"11.05.2025","4,595","4,781","4,828","4,494","17,69K","-3,90%"
"10.05.2025","4,781","4,403","4,781","4,371","15,09K","8,59%"
"09.05.2025","4,403","4,359","4,609","4,328","26,31K","0,99%"
"08.05.2025","4,359","3,857","4,359","3,857","63,21K","13,03%"
"07.05.2025","3,857","3,873","3,939","3,766","5,94K","-0,41%"
"06.05.2025","3,873","3,773","3,893","3,690","8,85K","2,65%"
"05.05.2025","3,773","3,872","3,906","3,720","10,01K","-2,57%"
