"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.12.2025","4.816,00","4.790,00","4.829,00","4.709,00","0,53K","0,54%"
"04.12.2025","4.790,00","4.896,00","4.935,00","4.720,00","0,31K","-2,11%"
"03.12.2025","4.893,00","4.677,00","4.905,00","4.664,00","0,37K","4,64%"
"02.12.2025","4.676,00","4.436,00","4.724,00","4.404,00","0,34K","5,34%"
"01.12.2025","4.439,00","4.705,00","4.707,00","4.297,00","0,49K","-5,65%"
"30.11.2025","4.705,00","4.690,00","4.832,00","4.671,00","0,20K","0,32%"
"29.11.2025","4.690,00","4.749,00","4.764,00","4.658,00","0,12K","-1,22%"
"28.11.2025","4.748,00","4.810,00","4.843,00","4.685,00","0,30K","-1,29%"
"27.11.2025","4.810,00","4.773,00","4.831,00","4.742,00","0,37K","0,78%"
"26.11.2025","4.773,00","4.646,00","4.794,00","4.585,00","0,24K","2,73%"
"25.11.2025","4.646,00","4.668,00","4.683,00","4.520,00","0,31K","-0,47%"
"24.11.2025","4.668,00","4.577,00","4.731,00","4.485,00","0,43K","2,06%"
"23.11.2025","4.574,00","4.522,00","4.645,00","4.520,00","0,14K","1,17%"
"22.11.2025","4.521,00","4.502,00","4.568,00","4.418,00","0,13K","0,38%"
"21.11.2025","4.504,00","4.634,00","4.686,00","4.266,00","1,04K","-2,81%"
"20.11.2025","4.634,00","4.793,00","4.887,00","4.632,00","0,35K","-3,34%"
"19.11.2025","4.794,00","4.974,00","5.018,00","4.654,00","0,63K","-3,62%"
"18.11.2025","4.974,00","4.835,00","5.000,00","4.718,00","0,58K","2,83%"
"17.11.2025","4.837,00","4.928,00","4.994,00","4.757,00","0,58K","-1,85%"
"16.11.2025","4.928,00","4.956,00","5.046,00","4.825,00","0,30K","-0,56%"
"15.11.2025","4.956,00","4.859,00","5.023,00","4.859,00","0,18K","2,00%"
"14.11.2025","4.859,00","4.926,00","4.953,00","4.718,00","0,49K","-1,36%"
"13.11.2025","4.926,00","5.052,00","5.150,00","4.807,00","0,24K","-2,49%"
"12.11.2025","5.052,00","5.076,00","5.174,00","4.980,00","0,27K","-0,47%"
"11.11.2025","5.076,00","5.266,00","5.344,00","5.061,00","0,70K","-3,61%"
"10.11.2025","5.266,00","5.341,00","5.455,00","5.196,00","0,32K","-1,40%"
"09.11.2025","5.341,00","5.304,00","5.397,00","5.228,00","0,22K","0,70%"
"08.11.2025","5.304,00","5.297,00","5.388,00","5.240,00","0,13K","0,13%"
"07.11.2025","5.297,00","5.092,00","5.317,00","4.972,00","0,43K","4,03%"
"06.11.2025","5.092,00","5.147,00","5.174,00","4.960,00","0,40K","-1,09%"
"05.11.2025","5.148,00","5.077,00","5.193,00","4.885,00","0,46K","1,40%"
