"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.12.2025","154,76","161,29","161,74","154,35","8,50M","-4,05%"
"04.12.2025","161,29","159,10","161,38","159,09","8,66M","1,82%"
"03.12.2025","158,40","158,36","158,71","157,87","5,16M","0,27%"
"02.12.2025","157,97","155,60","157,97","155,57","5,85M","1,59%"
"01.12.2025","155,50","155,71","155,99","154,78","2,92M","-0,22%"
"28.11.2025","155,85","155,41","156,52","155,25","3,89M","0,34%"
"27.11.2025","155,32","155,21","155,55","154,96","2,59M","-0,27%"
"26.11.2025","155,74","153,21","155,74","153,09","6,62M","1,81%"
"25.11.2025","152,97","152,35","153,23","151,62","3,89M","0,41%"
"24.11.2025","152,35","151,63","152,77","151,40","8,83M","0,26%"
"21.11.2025","151,95","151,94","151,95","150,49","5,81M","-0,03%"
"19.11.2025","152,00","152,99","153,17","152,00","8,89M","-1,00%"
"18.11.2025","153,53","152,69","153,86","152,53","7,53M","-0,17%"
"17.11.2025","153,79","154,46","154,74","153,44","8,30M","-0,36%"
"14.11.2025","154,34","153,49","155,21","153,49","7,94M","0,16%"
"13.11.2025","154,10","154,15","155,15","153,43","4,16M","-0,22%"
"12.11.2025","154,44","154,89","154,89","153,48","4,35M","-0,23%"
"11.11.2025","154,80","152,77","155,31","152,77","8,33M","1,67%"
"10.11.2025","152,25","151,67","152,46","151,48","4,78M","0,96%"
"07.11.2025","150,80","149,68","150,94","149,26","3,51M","0,47%"
"06.11.2025","150,10","150,31","151,14","150,05","6,31M","-0,19%"
"05.11.2025","150,38","147,28","150,50","147,19","5,45M","1,93%"
"04.11.2025","147,53","146,90","147,76","146,81","3,06M","0,11%"
"03.11.2025","147,37","147,10","147,90","146,52","4,04M","0,66%"
"31.10.2025","146,41","146,19","146,75","145,79","7,14M","0,49%"
"30.10.2025","145,70","144,54","146,16","144,40","4,14M","0,28%"
"29.10.2025","145,30","144,93","146,01","144,93","7,81M","0,68%"
"28.10.2025","144,32","143,78","144,92","143,43","7,12M","0,22%"
"27.10.2025","144,00","144,48","144,95","143,70","2,76M","0,70%"
"24.10.2025","143,00","143,56","144,20","143,00","3,68M","0,22%"
"23.10.2025","142,68","142,94","143,22","142,03","11,30M","0,56%"
"22.10.2025","141,88","141,64","142,04","140,96","3,17M","0,50%"
"21.10.2025","141,17","141,20","141,80","140,81","1,99M","-0,07%"
"20.10.2025","141,27","140,80","142,15","140,36","5,15M","0,62%"
"17.10.2025","140,40","138,89","140,42","138,31","10,83M","0,89%"
"16.10.2025","139,16","138,75","140,18","138,57","14,63M","-0,24%"
