"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.11.2025","484.399","471.120","484.464","464.717","0,27K","2,82%"
"25.11.2025","471.126","476.286","477.795","464.412","0,26K","-1,17%"
"24.11.2025","476.684","471.244","481.522","460.976","0,36K","1,17%"
"23.11.2025","471.158","459.726","478.107","459.726","0,26K","2,48%"
"22.11.2025","459.746","461.479","464.211","453.097","0,17K","-0,41%"
"21.11.2025","461.633","464.165","467.902","434.593","0,75K","-0,42%"
"20.11.2025","463.570","488.571","496.844","460.823","0,32K","-5,20%"
"19.11.2025","488.984","495.707","495.733","473.612","0,36K","-1,37%"
"18.11.2025","495.778","491.279","499.576","476.822","0,36K","0,83%"
"17.11.2025","491.704","501.393","509.863","487.128","0,32K","-1,94%"
"16.11.2025","501.422","508.289","513.532","494.697","0,14K","-1,31%"
"15.11.2025","508.057","504.094","514.643","503.543","0,15K","1,08%"
"14.11.2025","502.641","528.335","529.469","500.291","0,47K","-5,06%"
"13.11.2025","529.445","538.676","551.423","520.098","0,23K","-1,77%"
"12.11.2025","539.004","545.741","556.152","534.398","0,16K","-1,16%"
"11.11.2025","545.356","562.522","569.240","541.733","0,17K","-3,09%"
"10.11.2025","562.742","560.430","571.444","556.603","0,18K","0,25%"
"09.11.2025","561.326","548.072","564.399","543.062","0,13K","2,38%"
"08.11.2025","548.268","552.349","552.552","542.834","0,14K","-0,73%"
"07.11.2025","552.304","543.515","555.843","532.876","0,23K","1,61%"
"06.11.2025","543.563","557.346","558.931","538.125","0,21K","-2,50%"
"05.11.2025","557.502","550.753","560.703","536.633","0,28K","1,36%"
"04.11.2025","550.022","571.331","576.412","536.090","0,39K","-3,84%"
"03.11.2025","571.964","593.727","595.000","565.047","0,24K","-3,72%"
"02.11.2025","594.078","591.819","597.996","588.372","0,09K","0,38%"
"01.11.2025","591.857","590.185","595.183","589.341","0,10K","0,29%"
"31.10.2025","590.135","585.293","599.082","584.757","0,19K","0,88%"
"30.10.2025","584.999","590.307","598.495","572.731","0,26K","-0,94%"
"29.10.2025","590.547","605.957","609.166","588.486","0,20K","-2,60%"
"28.10.2025","606.325","613.203","623.713","602.651","0,15K","-1,14%"
"27.10.2025","613.346","616.262","625.455","611.998","0,18K","-0,53%"
"26.10.2025","616.619","602.735","620.884","600.992","0,15K","2,28%"
"25.10.2025","602.861","600.274","605.003","598.416","0,08K","0,45%"
"24.10.2025","600.166","593.887","601.822","591.512","0,15K","1,07%"
"23.10.2025","593.820","582.085","599.523","581.973","0,13K","1,96%"
"22.10.2025","582.389","584.702","589.174","577.554","0,19K","-0,44%"
"21.10.2025","584.946","595.521","613.029","580.172","0,22K","-1,82%"
"20.10.2025","595.759","589.503","605.442","583.240","0,18K","1,02%"
"19.10.2025","589.729","581.974","593.735","576.196","0,14K","1,34%"
"18.10.2025","581.945","578.309","583.310","577.490","0,12K","0,67%"
"17.10.2025","578.047","590.048","597.129","567.629","0,38K","-2,08%"
"16.10.2025","590.355","605.556","611.632","586.616","0,32K","-2,44%"
"15.10.2025","605.131","621.844","623.973","602.325","0,23K","-2,73%"
"14.10.2025","622.092","632.559","633.964","606.785","0,37K","-1,67%"
"13.10.2025","632.688","641.208","646.525","625.123","0,30K","-1,42%"
"12.10.2025","641.776","624.559","650.590","616.832","0,32K","2,72%"
"11.10.2025","624.792","633.466","634.386","615.099","0,39K","-1,63%"
"10.10.2025","635.143","654.511","664.681","586.804","0,46K","-3,00%"
"09.10.2025","654.755","659.517","660.953","643.831","0,20K","-0,70%"
"08.10.2025","659.367","650.745","664.854","650.193","0,23K","1,37%"
"07.10.2025","650.464","663.100","667.654","645.940","0,23K","-1,91%"
"06.10.2025","663.153","660.304","670.538","658.286","0,26K","0,43%"
"05.10.2025","660.305","655.357","670.264","653.571","0,18K","0,77%"
"04.10.2025","655.290","654.864","657.105","650.767","0,15K","0,08%"
"03.10.2025","654.747","644.149","662.027","638.154","0,31K","1,55%"
"02.10.2025","644.735","632.710","646.373","629.640","0,30K","2,11%"
"01.10.2025","631.414","607.886","631.714","607.211","0,27K","3,92%"
"30.09.2025","607.592","608.170","611.021","599.755","0,19K","-0,07%"
"29.09.2025","608.029","601.528","609.729","596.309","0,17K","1,07%"
"28.09.2025","601.608","588.843","602.774","586.630","0,09K","2,18%"
"27.09.2025","588.792","588.675","589.378","585.502","0,10K","-0,06%"
"26.09.2025","589.123","586.192","590.381","582.834","0,21K","0,49%"
"25.09.2025","586.265","603.269","604.248","583.069","0,24K","-2,84%"
"24.09.2025","603.408","593.033","607.633","589.586","0,17K","1,72%"
"23.09.2025","593.197","602.157","606.084","590.597","0,18K","-1,57%"
"22.09.2025","602.646","614.903","616.060","599.274","0,24K","-2,00%"
"21.09.2025","614.938","618.584","618.962","614.823","0,09K","-0,60%"
"20.09.2025","618.649","618.626","621.363","617.229","0,09K","-0,01%"
"19.09.2025","618.705","622.743","624.561","613.307","0,13K","-0,60%"
"18.09.2025","622.417","618.825","626.478","617.551","0,16K","0,59%"
"17.09.2025","618.757","619.690","622.744","609.906","0,18K","-0,19%"
"16.09.2025","619.908","614.768","621.263","610.296","0,15K","0,82%"
"15.09.2025","614.864","619.700","626.358","609.493","0,17K","-0,86%"
"14.09.2025","620.215","623.332","624.642","619.149","0,10K","-0,49%"
"13.09.2025","623.253","624.060","625.832","618.824","0,12K","-0,11%"
"12.09.2025","623.920","624.042","627.601","616.577","0,17K","0,06%"
"11.09.2025","623.542","617.460","623.788","613.065","0,15K","1,02%"
"10.09.2025","617.257","607.474","618.429","603.479","0,16K","1,63%"
"09.09.2025","607.330","609.685","614.265","601.888","0,14K","-0,38%"
"08.09.2025","609.635","604.772","613.967","601.656","0,17K","0,79%"
"07.09.2025","604.852","600.763","607.655","600.399","0,10K","0,68%"
"06.09.2025","600.750","602.101","606.313","598.862","0,15K","-0,25%"
"05.09.2025","602.230","605.048","616.044","596.645","0,19K","-0,44%"
"04.09.2025","604.890","610.331","612.713","598.413","0,15K","-0,88%"
"03.09.2025","610.240","609.898","614.920","605.105","0,16K","0,09%"
"02.09.2025","609.684","596.788","610.599","594.525","0,21K","2,13%"
"01.09.2025","596.979","591.996","598.885","586.620","0,21K","0,86%"
"31.08.2025","591.901","594.638","598.777","591.054","0,11K","-0,57%"
"30.08.2025","595.300","591.494","595.684","586.906","0,13K","0,58%"
"29.08.2025","591.888","610.690","611.104","586.208","0,28K","-3,14%"
"28.08.2025","611.077","604.192","615.635","603.246","0,16K","1,14%"
"27.08.2025","604.215","608.282","613.310","601.134","0,18K","-0,70%"
"26.08.2025","608.484","597.972","611.283","591.274","0,26K","1,63%"
"25.08.2025","598.714","618.728","619.638","593.023","0,35K","-3,26%"
"24.08.2025","618.914","628.677","630.153","605.441","0,16K","-1,58%"
"23.08.2025","628.870","634.591","637.511","624.258","0,11K","-0,90%"
"22.08.2025","634.582","617.456","636.423","611.988","0,23K","2,84%"
"21.08.2025","617.046","627.788","630.302","614.841","0,20K","-1,76%"
"20.08.2025","628.107","623.727","630.110","615.821","0,24K","0,80%"
"19.08.2025","623.116","633.252","635.989","620.382","0,22K","-1,62%"
"18.08.2025","633.369","637.376","637.805","623.616","0,27K","-0,60%"
"17.08.2025","637.203","637.935","644.081","636.646","0,12K","-0,14%"
"16.08.2025","638.113","636.921","640.767","635.904","0,14K","0,16%"
"15.08.2025","637.123","643.141","648.679","631.926","0,21K","-0,99%"
"14.08.2025","643.520","665.944","670.294","636.946","0,32K","-3,43%"
"13.08.2025","666.393","650.476","667.322","643.579","0,28K","2,38%"
"12.08.2025","650.905","647.168","651.625","643.092","0,20K","0,62%"
"11.08.2025","646.896","650.773","665.243","644.609","0,29K","-0,62%"
"10.08.2025","650.935","636.337","651.098","635.563","0,16K","2,30%"
"09.08.2025","636.292","636.972","641.428","634.916","0,14K","-0,11%"
"08.08.2025","636.995","638.918","640.173","629.658","0,16K","-0,35%"
"07.08.2025","639.224","630.443","639.630","627.147","0,18K","1,38%"
"06.08.2025","630.554","629.937","633.605","623.461","0,16K","0,09%"
"05.08.2025","630.008","634.822","636.217","621.248","0,18K","-0,79%"
"04.08.2025","635.008","636.423","639.846","629.295","0,24K","-0,15%"
"03.08.2025","635.931","627.849","639.735","624.922","0,10K","1,29%"
"02.08.2025","627.807","630.687","635.227","624.587","0,13K","-0,44%"
"01.08.2025","630.560","651.359","654.435","627.893","0,34K","-3,21%"
"31.07.2025","651.501","658.937","666.379","650.609","0,23K","-1,15%"
"30.07.2025","659.050","659.477","665.103","647.456","0,24K","-0,08%"
"29.07.2025","659.591","661.032","666.791","652.469","0,17K","-0,27%"
"28.07.2025","661.352","666.791","667.946","658.273","0,18K","-0,83%"
"27.07.2025","666.880","659.813","668.221","657.669","0,12K","1,10%"
"26.07.2025","659.619","655.947","661.230","654.632","0,11K","0,47%"
"25.07.2025","656.518","655.077","656.518","637.600","0,27K","0,22%"
"24.07.2025","655.049","657.343","661.152","649.751","0,17K","-0,38%"
"23.07.2025","657.550","667.120","667.747","649.352","0,20K","-1,49%"
"22.07.2025","667.464","655.815","669.005","649.562","0,25K","1,79%"
"21.07.2025","655.721","659.102","670.168","651.027","0,25K","-0,63%"
"20.07.2025","659.893","660.463","665.812","654.518","0,16K","-0,08%"
"19.07.2025","660.439","660.672","663.593","657.732","0,12K","-0,02%"
"18.07.2025","660.576","661.315","668.772","652.467","0,25K","-0,07%"
"17.07.2025","661.061","662.706","670.734","657.116","0,24K","-0,26%"
"16.07.2025","662.803","656.133","669.129","652.530","0,27K","0,95%"
"15.07.2025","656.580","669.557","670.652","643.993","0,33K","-1,96%"
"14.07.2025","669.691","662.869","679.653","660.344","0,38K","1,02%"
"13.07.2025","662.924","653.006","665.193","651.783","0,16K","1,53%"
"12.07.2025","652.905","653.523","659.425","649.573","0,15K","-0,11%"
"11.07.2025","653.618","635.471","656.927","630.432","0,43K","2,88%"
"10.07.2025","635.312","612.313","645.613","609.792","0,53K","3,81%"
"09.07.2025","612.002","595.512","615.134","593.867","0,31K","2,79%"
"08.07.2025","595.364","592.809","596.580","588.957","0,17K","0,40%"
"07.07.2025","592.971","596.944","598.862","590.190","0,21K","-0,68%"
"06.07.2025","597.021","591.011","597.468","588.515","0,12K","1,02%"
"05.07.2025","591.012","590.598","592.069","587.531","0,10K","0,10%"
