"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"24.12.2025","16.221,00","16.432,00","16.472,00","16.156,00","0,10K","-1,28%"
"23.12.2025","16.432,00","16.814,00","16.979,00","16.145,00","0,13K","-2,27%"
"22.12.2025","16.814,00","16.674,00","17.060,00","16.560,00","0,17K","0,84%"
"21.12.2025","16.674,00","16.548,00","16.741,00","16.363,00","0,05K","0,76%"
"20.12.2025","16.548,00","16.582,00","16.655,00","16.500,00","0,06K","-0,21%"
"19.12.2025","16.582,00","15.624,00","16.648,00","15.548,00","0,25K","6,13%"
"18.12.2025","15.624,00","15.675,00","16.540,00","15.378,00","0,14K","-0,29%"
"17.12.2025","15.670,00","16.234,00","16.657,00","15.422,00","0,19K","-3,47%"
"16.12.2025","16.234,00","16.095,00","16.275,00","15.660,00","0,15K","0,86%"
"15.12.2025","16.095,00","16.634,00","17.224,00","15.746,00","0,17K","-3,24%"
"14.12.2025","16.634,00","16.937,00","17.000,00","16.481,00","0,07K","-1,79%"
"13.12.2025","16.937,00","16.772,00","17.038,00","16.716,00","0,05K","0,98%"
"12.12.2025","16.772,00","17.508,00","17.668,00","16.527,00","0,12K","-4,20%"
"11.12.2025","17.508,00","18.211,00","18.238,00","17.077,00","0,18K","-3,86%"
"10.12.2025","18.211,00","18.077,00","18.800,00","17.920,00","0,31K","0,74%"
"09.12.2025","18.077,00","17.003,00","18.442,00","16.797,00","0,26K","6,32%"
"08.12.2025","17.003,00","16.799,00","17.362,00","16.701,00","0,26K","1,21%"
"07.12.2025","16.799,00","16.683,00","17.259,00","16.099,00","0,21K","0,70%"
"06.12.2025","16.683,00","16.528,00","16.773,00","16.500,00","0,04K","0,91%"
"05.12.2025","16.532,00","16.686,00","16.979,00","16.232,00","0,21K","-0,92%"
"04.12.2025","16.686,00","16.998,00","17.800,00","16.321,00","0,23K","-1,84%"
"03.12.2025","16.998,00","15.994,00","17.042,00","15.934,00","0,28K","6,28%"
"02.12.2025","15.994,00","15.025,00","16.203,00","14.934,00","0,16K","6,43%"
"01.12.2025","15.028,00","16.068,00","16.101,00","14.560,00","0,34K","-6,48%"
"30.11.2025","16.070,00","16.076,00","16.369,00","16.043,00","0,09K","-0,04%"
"29.11.2025","16.076,00","16.240,00","16.354,00","15.900,00","0,07K","-1,01%"
"28.11.2025","16.240,00","16.191,00","16.537,00","16.033,00","0,24K","0,30%"
"27.11.2025","16.191,00","16.206,00","16.397,00","15.994,00","0,21K","-0,09%"
"26.11.2025","16.206,00","15.950,00","16.253,00","15.559,00","0,24K","1,61%"
"25.11.2025","15.950,00","15.951,00","16.050,00","15.436,00","0,20K","-0,02%"
"24.11.2025","15.953,00","15.203,00","16.120,00","15.001,00","0,25K","4,93%"
"23.11.2025","15.203,00","15.008,00","15.513,00","15.008,00","0,12K","1,30%"
"22.11.2025","15.008,00","14.997,00","15.182,00","14.674,00","0,17K","0,07%"
"21.11.2025","14.997,00","15.144,00","15.447,00","14.152,00","0,80K","-0,97%"
"20.11.2025","15.144,00","16.154,00","16.335,00","14.950,00","0,35K","-6,25%"
"19.11.2025","16.154,00","16.668,00","16.673,00","15.360,00","0,41K","-3,08%"
"18.11.2025","16.668,00","16.160,00","16.869,00","15.725,00","0,41K","3,14%"
"17.11.2025","16.160,00","16.451,00","17.111,00","15.761,00","0,40K","-1,79%"
"16.11.2025","16.455,00","16.838,00","17.250,00","15.987,00","0,32K","-2,27%"
"15.11.2025","16.838,00","16.520,00","17.172,00","16.520,00","0,24K","1,92%"
"14.11.2025","16.520,00","17.155,00","17.300,00","16.287,00","0,56K","-3,71%"
"13.11.2025","17.156,00","18.066,00","18.828,00","16.750,00","0,35K","-5,04%"
"12.11.2025","18.066,00","18.087,00","18.975,00","17.857,00","0,13K","-0,12%"
"11.11.2025","18.087,00","18.943,00","19.310,00","18.004,00","0,25K","-4,52%"
"10.11.2025","18.943,00","19.188,00","19.597,00","18.676,00","0,16K","-1,42%"
"09.11.2025","19.215,00","18.207,00","19.350,00","17.999,00","0,16K","5,54%"
"08.11.2025","18.207,00","18.374,00","18.600,00","17.967,00","0,07K","-0,91%"
"07.11.2025","18.374,00","17.780,00","18.541,00","17.141,00","0,35K","3,34%"
"06.11.2025","17.780,00","18.385,00","18.540,00","17.408,00","0,29K","-3,29%"
"05.11.2025","18.385,00","17.791,00","18.680,00","17.181,00","0,45K","3,11%"
"04.11.2025","17.830,00","19.350,00","19.614,00","16.617,00","0,96K","-7,85%"
"03.11.2025","19.349,00","20.996,00","21.034,00","19.090,00","0,40K","-7,84%"
"02.11.2025","20.996,00","20.824,00","21.040,00","20.644,00","0,14K","0,83%"
"01.11.2025","20.823,00","20.731,00","21.023,00","20.629,00","0,09K","0,44%"
"31.10.2025","20.731,00","20.558,00","21.006,00","20.488,00","0,27K","0,84%"
"30.10.2025","20.558,00","20.948,00","21.166,00","19.814,00","0,52K","-1,86%"
"29.10.2025","20.948,00","21.395,00","21.632,00","20.652,00","0,25K","-2,09%"
"28.10.2025","21.395,00","22.123,00","22.434,00","21.141,00","0,22K","-3,44%"
"27.10.2025","22.157,00","22.372,00","22.894,00","22.037,00","0,26K","-0,96%"
"26.10.2025","22.372,00","21.332,00","22.511,00","21.180,00","0,22K","4,88%"
"25.10.2025","21.332,00","21.259,00","21.429,00","21.135,00","0,08K","0,34%"
"24.10.2025","21.259,00","20.812,00","21.579,00","20.759,00","0,24K","2,15%"
"23.10.2025","20.812,00","20.584,00","21.201,00","20.556,00","0,14K","1,11%"
"22.10.2025","20.584,00","20.887,00","20.991,00","20.149,00","0,36K","-1,53%"
"21.10.2025","20.903,00","21.452,00","22.109,00","20.730,00","0,44K","-2,56%"
"20.10.2025","21.452,00","21.609,00","22.999,00","21.125,00","0,49K","-0,73%"
"19.10.2025","21.609,00","21.118,00","21.855,00","20.895,00","0,30K","2,33%"
"18.10.2025","21.118,00","20.764,00","21.302,00","20.730,00","0,21K","1,70%"
"17.10.2025","20.764,00","21.237,00","21.556,00","20.132,00","0,69K","-2,23%"
"16.10.2025","21.237,00","21.785,00","22.275,00","20.894,00","0,58K","-2,52%"
"15.10.2025","21.785,00","22.694,00","23.095,00","21.493,00","0,41K","-4,01%"
"14.10.2025","22.694,00","23.305,00","23.402,00","21.472,00","0,55K","-2,62%"
"13.10.2025","23.305,00","23.216,00","23.580,00","22.424,00","0,44K","0,38%"
"12.10.2025","23.216,00","21.159,00","23.593,00","20.850,00","0,65K","9,72%"
"11.10.2025","21.159,00","21.511,00","21.797,00","20.562,00","1,15K","-1,27%"
"10.10.2025","21.432,00","23.499,00","23.847,00","19.575,00","1,11K","-8,80%"
"09.10.2025","23.499,00","24.208,00","24.238,00","22.939,00","0,26K","-2,93%"
"08.10.2025","24.208,00","23.849,00","24.399,00","23.720,00","0,25K","1,51%"
"07.10.2025","23.849,00","24.897,00","25.355,00","23.800,00","0,56K","-4,28%"
"06.10.2025","24.915,00","24.133,00","25.160,00","24.013,00","0,37K","3,24%"
"05.10.2025","24.133,00","24.031,00","24.616,00","23.937,00","0,18K","0,48%"
"04.10.2025","24.018,00","24.172,00","24.198,00","23.798,00","0,16K","-0,64%"
"03.10.2025","24.172,00","23.994,00","24.500,00","23.697,00","0,42K","0,74%"
"02.10.2025","23.994,00","23.150,00","24.129,00","23.064,00","0,44K","3,65%"
"01.10.2025","23.150,00","22.084,00","23.186,00","21.939,00","0,43K","4,83%"
"30.09.2025","22.084,00","22.451,00","22.573,00","21.797,00","0,40K","-1,65%"
"29.09.2025","22.455,00","22.240,00","22.578,00","21.808,00","0,27K","1,11%"
"28.09.2025","22.209,00","21.577,00","22.220,00","21.323,00","0,11K","2,93%"
"27.09.2025","21.577,00","21.672,00","21.696,00","21.324,00","0,27K","-0,44%"
"26.09.2025","21.672,00","20.846,00","21.739,00","20.817,00","0,55K","4,09%"
"25.09.2025","20.820,00","22.115,00","22.148,00","20.524,00","0,59K","-5,86%"
"24.09.2025","22.115,00","22.040,00","22.370,00","21.619,00","0,34K","0,34%"
"23.09.2025","22.040,00","22.471,00","22.606,00","21.918,00","0,37K","-1,92%"
"22.09.2025","22.471,00","23.729,00","23.768,00","21.854,00","0,66K","-5,30%"
"21.09.2025","23.729,00","23.963,00","24.040,00","23.700,00","0,17K","-0,98%"
"20.09.2025","23.963,00","23.915,00","24.106,00","23.838,00","0,14K","0,20%"
"19.09.2025","23.915,00","24.385,00","24.565,00","23.670,00","0,18K","-2,00%"
"18.09.2025","24.403,00","24.398,00","24.697,00","24.147,00","0,22K","0,02%"
"17.09.2025","24.398,00","23.901,00","24.523,00","23.516,00","0,54K","2,16%"
"16.09.2025","23.883,00","24.108,00","24.189,00","23.542,00","0,27K","-1,02%"
"15.09.2025","24.128,00","24.770,00","25.069,00","23.753,00","0,45K","-2,59%"
"14.09.2025","24.770,00","25.090,00","25.218,00","24.614,00","0,17K","-1,28%"
"13.09.2025","25.090,00","25.330,00","25.635,00","24.768,00","0,27K","-0,95%"
"12.09.2025","25.330,00","24.088,00","25.403,00","24.039,00","0,53K","5,19%"
"11.09.2025","24.081,00","23.563,00","24.239,00","23.501,00","0,26K","2,20%"
"10.09.2025","23.563,00","23.455,00","24.118,00","23.300,00","0,31K","0,46%"
"09.09.2025","23.455,00","23.432,00","23.755,00","23.229,00","0,28K","0,10%"
"08.09.2025","23.432,00","23.411,00","23.846,00","23.251,00","0,41K","0,04%"
"07.09.2025","23.423,00","23.295,00","23.584,00","23.262,00","0,05K","0,58%"
"06.09.2025","23.289,00","23.444,00","23.565,00","23.116,00","0,30K","-0,66%"
"05.09.2025","23.444,00","23.495,00","24.248,00","23.060,00","0,40K","-0,12%"
"04.09.2025","23.473,00","24.304,00","24.482,00","23.273,00","0,26K","-3,42%"
"03.09.2025","24.304,00","23.699,00","24.540,00","23.479,00","0,42K","2,55%"
"02.09.2025","23.699,00","23.595,00","24.090,00","23.321,00","0,39K","0,44%"
