"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.11.2025","16.204,00","15.950,00","16.253,00","15.559,00","0,25K","1,59%"
"25.11.2025","15.950,00","15.951,00","16.050,00","15.436,00","0,20K","-0,02%"
"24.11.2025","15.953,00","15.203,00","16.120,00","15.001,00","0,25K","4,93%"
"23.11.2025","15.203,00","15.008,00","15.513,00","15.008,00","0,12K","1,30%"
"22.11.2025","15.008,00","14.997,00","15.182,00","14.674,00","0,17K","0,07%"
"21.11.2025","14.997,00","15.144,00","15.447,00","14.152,00","0,80K","-0,97%"
"20.11.2025","15.144,00","16.154,00","16.335,00","14.950,00","0,35K","-6,25%"
"19.11.2025","16.154,00","16.668,00","16.673,00","15.360,00","0,41K","-3,08%"
"18.11.2025","16.668,00","16.160,00","16.869,00","15.725,00","0,41K","3,14%"
"17.11.2025","16.160,00","16.451,00","17.111,00","15.761,00","0,40K","-1,79%"
"16.11.2025","16.455,00","16.838,00","17.250,00","15.987,00","0,32K","-2,27%"
"15.11.2025","16.838,00","16.520,00","17.172,00","16.520,00","0,24K","1,92%"
"14.11.2025","16.520,00","17.155,00","17.300,00","16.287,00","0,56K","-3,71%"
"13.11.2025","17.156,00","18.066,00","18.828,00","16.750,00","0,35K","-5,04%"
"12.11.2025","18.066,00","18.087,00","18.975,00","17.857,00","0,13K","-0,12%"
"11.11.2025","18.087,00","18.943,00","19.310,00","18.004,00","0,25K","-4,52%"
"10.11.2025","18.943,00","19.188,00","19.597,00","18.676,00","0,16K","-1,42%"
"09.11.2025","19.215,00","18.207,00","19.350,00","17.999,00","0,16K","5,54%"
"08.11.2025","18.207,00","18.374,00","18.600,00","17.967,00","0,07K","-0,91%"
"07.11.2025","18.374,00","17.780,00","18.541,00","17.141,00","0,35K","3,34%"
"06.11.2025","17.780,00","18.385,00","18.540,00","17.408,00","0,29K","-3,29%"
"05.11.2025","18.385,00","17.791,00","18.680,00","17.181,00","0,45K","3,11%"
"04.11.2025","17.830,00","19.350,00","19.614,00","16.617,00","0,96K","-7,85%"
"03.11.2025","19.349,00","20.996,00","21.034,00","19.090,00","0,40K","-7,84%"
"02.11.2025","20.996,00","20.824,00","21.040,00","20.644,00","0,14K","0,83%"
"01.11.2025","20.823,00","20.731,00","21.023,00","20.629,00","0,09K","0,44%"
"31.10.2025","20.731,00","20.558,00","21.006,00","20.488,00","0,27K","0,84%"
"30.10.2025","20.558,00","20.948,00","21.166,00","19.814,00","0,52K","-1,86%"
"29.10.2025","20.948,00","21.395,00","21.632,00","20.652,00","0,25K","-2,09%"
"28.10.2025","21.395,00","22.123,00","22.434,00","21.141,00","0,22K","-3,44%"
"27.10.2025","22.157,00","22.372,00","22.894,00","22.037,00","0,26K","-0,96%"
"26.10.2025","22.372,00","21.332,00","22.511,00","21.180,00","0,22K","4,88%"
"25.10.2025","21.332,00","21.259,00","21.429,00","21.135,00","0,08K","0,34%"
