"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.12.2025","19,55","19,05","19,66","18,92","1,23M","3,33%"
"04.12.2025","18,92","18,96","18,97","18,78","655,80K","-0,21%"
"03.12.2025","18,96","18,97","19,04","18,77","1,19M","-0,11%"
"02.12.2025","18,98","18,96","19,09","18,90","1,15M","0,26%"
"01.12.2025","18,93","18,86","19,00","18,77","132,73K","0,05%"
"28.11.2025","18,92","18,91","18,99","18,74","669,29K","0,32%"
"27.11.2025","18,86","18,89","18,96","18,78","267,14K","0,48%"
"26.11.2025","18,77","18,78","18,88","18,77","2,15M","-0,05%"
"25.11.2025","18,78","18,65","18,84","18,52","1,34M","0,64%"
"24.11.2025","18,66","18,28","18,73","18,28","2,43M","2,30%"
"21.11.2025","18,24","18,08","18,44","18,02","2,18M","-0,33%"
"19.11.2025","18,30","18,36","18,49","18,20","329,50K","0,60%"
"18.11.2025","18,19","18,29","18,40","18,10","865,69K","-1,19%"
"17.11.2025","18,41","18,50","18,59","18,30","1,57M","-0,38%"
"14.11.2025","18,48","18,22","18,59","18,16","827,63K","0,05%"
"13.11.2025","18,47","18,81","18,81","18,39","490,77K","-1,81%"
"12.11.2025","18,81","18,82","18,98","18,75","621,79K","0,16%"
"11.11.2025","18,78","18,85","18,85","18,65","534,25K","-0,69%"
"10.11.2025","18,91","18,80","18,96","18,77","654,51K","1,61%"
"07.11.2025","18,61","18,74","18,74","18,32","699,29K","-0,80%"
"06.11.2025","18,76","19,14","19,14","18,72","449,89K","-1,83%"
"05.11.2025","19,11","19,10","19,23","18,91","785,31K","-0,26%"
"04.11.2025","19,16","19,29","19,32","19,12","426,61K","-1,19%"
"03.11.2025","19,39","19,43","19,44","19,30","493,01K","0,15%"
"31.10.2025","19,36","19,49","19,58","19,30","424,86K","0,36%"
"30.10.2025","19,29","19,51","19,55","19,29","399,60K","-1,08%"
"29.10.2025","19,50","19,49","19,53","19,37","629,81K","0,41%"
"28.10.2025","19,42","19,35","19,48","19,32","544,78K","0,47%"
"27.10.2025","19,33","19,20","19,34","19,18","522,73K","1,47%"
"24.10.2025","19,05","18,98","19,11","18,89","608,61K","1,11%"
"23.10.2025","18,84","18,70","18,85","18,57","502,04K","0,64%"
"22.10.2025","18,72","18,87","18,91","18,59","806,07K","-0,79%"
"21.10.2025","18,87","18,85","18,94","18,80","692,42K","0,27%"
"20.10.2025","18,82","18,69","18,86","18,65","1,04M","0,70%"
"17.10.2025","18,69","18,73","18,79","18,55","753,48K","-0,11%"
"16.10.2025","18,71","18,90","18,93","18,61","237,73K","-0,74%"
"15.10.2025","18,85","18,85","18,94","18,66","907,08K","0,59%"
"14.10.2025","18,74","18,70","18,88","18,64","592,82K","-0,53%"
"13.10.2025","18,84","18,71","18,88","18,66","446,71K","1,40%"
"10.10.2025","18,58","18,82","19,15","18,58","1,45M","-1,28%"
"09.10.2025","18,82","18,69","18,82","18,62","712,39K","0,59%"
"08.10.2025","18,71","18,56","18,75","18,48","575,62K","0,92%"
"07.10.2025","18,54","18,58","18,66","18,43","581,33K","0,38%"
"06.10.2025","18,47","18,62","18,62","18,45","764,19K","0,22%"
"03.10.2025","18,43","18,53","18,63","18,40","409,43K","-0,49%"
"02.10.2025","18,52","18,47","18,60","18,45","812,00K","0,60%"
"01.10.2025","18,41","18,24","18,43","18,15","470,82K","0,49%"
"30.09.2025","18,32","18,24","18,32","18,12","277,40K","0,44%"
"29.09.2025","18,24","18,25","18,34","18,17","375,06K","0,11%"
"26.09.2025","18,22","18,25","18,29","18,03","470,28K","-0,11%"
"25.09.2025","18,24","18,04","18,27","18,00","542,23K","0,27%"
"24.09.2025","18,19","18,18","18,22","18,09","290,03K","0,61%"
"23.09.2025","18,08","18,36","18,36","18,05","841,18K","-1,74%"
"22.09.2025","18,40","18,30","18,43","18,27","513,98K","0,71%"
"19.09.2025","18,27","18,20","18,27","18,17","128,75K","0,83%"
"18.09.2025","18,12","18,03","18,16","18,00","452,97K","1,23%"
"17.09.2025","17,90","17,92","18,00","17,80","271,28K","-0,11%"
"16.09.2025","17,92","18,06","18,07","17,92","146,18K","-0,61%"
"15.09.2025","18,03","17,97","18,07","17,95","1,01M","0,33%"
"12.09.2025","17,97","18,00","18,05","17,94","323,76K","-0,39%"
"11.09.2025","18,04","18,08","18,08","17,93","387,24K","0,45%"
"10.09.2025","17,96","18,11","18,18","17,92","660,94K","-0,66%"
"09.09.2025","18,08","18,00","18,08","17,92","200,26K","0,67%"
"08.09.2025","17,96","17,85","18,09","17,84","150,93K","0,67%"
"05.09.2025","17,84","17,96","17,98","17,72","235,88K","-0,50%"
"04.09.2025","17,93","17,80","17,94","17,74","171,61K","0,79%"
"03.09.2025","17,79","17,75","17,83","17,67","161,16K","0,40%"
"02.09.2025","17,72","17,72","17,72","17,49","279,73K","0,00%"
"01.09.2025","17,72","17,71","17,77","17,66","160,34K","0,06%"
"29.08.2025","17,71","17,80","17,85","17,64","538,55K","-0,78%"
"28.08.2025","17,85","17,74","17,90","17,69","761,91K","0,28%"
"27.08.2025","17,80","17,85","17,91","17,73","498,82K","-0,06%"
"26.08.2025","17,81","17,70","17,86","17,62","196,75K","0,68%"
"25.08.2025","17,69","17,73","17,74","17,62","617,16K","-0,34%"
"22.08.2025","17,75","17,70","17,82","17,66","895,84K","0,34%"
"21.08.2025","17,69","17,73","17,78","17,60","221,00K","-0,23%"
"20.08.2025","17,73","17,90","17,90","17,46","436,80K","-1,17%"
"19.08.2025","17,94","18,05","18,19","17,86","885,80K","-0,11%"
"18.08.2025","17,96","17,83","18,02","17,83","441,03K","0,73%"
"15.08.2025","17,83","17,95","17,98","17,78","569,86K","-0,94%"
"14.08.2025","18,00","17,91","18,04","17,80","645,39K","0,33%"
"13.08.2025","17,94","17,98","18,04","17,85","318,52K","0,17%"
"12.08.2025","17,91","17,86","18,02","17,74","1,71M","0,39%"
"11.08.2025","17,84","17,89","18,04","17,82","653,50K","-0,22%"
"08.08.2025","17,88","17,65","17,96","17,65","1,22M","1,19%"
"07.08.2025","17,67","17,82","17,93","17,60","766,52K","-0,39%"
"06.08.2025","17,74","17,69","17,77","17,57","308,34K","0,34%"
"05.08.2025","17,68","17,84","17,89","17,63","698,71K","-0,62%"
"04.08.2025","17,79","17,54","17,85","17,54","518,08K","1,14%"
"01.08.2025","17,59","17,86","17,86","17,48","583,14K","-2,92%"
"31.07.2025","18,12","18,42","18,50","18,08","599,61K","-0,22%"
"30.07.2025","18,16","18,22","18,38","18,02","646,22K","0,33%"
"29.07.2025","18,10","18,25","18,37","18,08","676,94K","-0,55%"
"28.07.2025","18,20","18,18","18,26","18,09","465,08K","0,83%"
"25.07.2025","18,05","17,85","18,10","17,85","434,85K","1,06%"
"24.07.2025","17,86","17,87","18,00","17,81","586,98K","0,11%"
"23.07.2025","17,84","17,87","18,00","17,76","455,79K","-0,34%"
"22.07.2025","17,90","18,00","18,05","17,85","1,13M","-0,50%"
"21.07.2025","17,99","17,84","18,12","17,84","1,45M","0,06%"
"18.07.2025","17,98","17,90","17,98","17,77","739,06K","0,73%"
"17.07.2025","17,85","17,90","17,93","17,83","529,17K","0,51%"
"16.07.2025","17,76","17,78","17,82","17,55","1,09M","0,17%"
"15.07.2025","17,73","17,87","17,93","17,71","1,75M","-0,28%"
"14.07.2025","17,78","17,62","17,82","17,51","735,55K","0,91%"
"11.07.2025","17,62","17,68","17,76","17,57","547,59K","0,00%"
"10.07.2025","17,62","17,70","17,86","17,53","674,34K","0,40%"
"09.07.2025","17,55","17,39","17,55","17,28","390,56K","1,98%"
"08.07.2025","17,21","17,32","17,33","17,19","720,39K","-0,64%"
"07.07.2025","17,32","17,18","17,34","17,17","2,21M","0,81%"
"04.07.2025","17,18","17,19","17,19","17,01","354,10K","-0,12%"
"03.07.2025","17,20","17,23","17,33","17,11","749,25K","0,41%"
"02.07.2025","17,13","17,00","17,30","17,00","484,03K","0,06%"
"01.07.2025","17,12","17,18","17,24","17,06","588,45K","-0,23%"
"30.06.2025","17,16","17,32","17,33","17,10","450,45K","-0,35%"
"27.06.2025","17,22","17,22","17,33","17,13","320,80K","0,12%"
"26.06.2025","17,20","17,24","17,31","17,11","925,43K","-0,29%"
"25.06.2025","17,25","17,20","17,27","17,10","249,41K","0,94%"
"24.06.2025","17,09","16,86","17,11","16,85","347,12K","1,91%"
"23.06.2025","16,77","16,70","16,79","16,57","493,78K","0,72%"
"20.06.2025","16,65","16,65","16,79","16,56","384,71K","-0,12%"
"18.06.2025","16,67","16,70","16,76","16,62","378,35K","0,00%"
"17.06.2025","16,67","16,77","16,78","16,62","1,48M","-0,71%"
"16.06.2025","16,79","16,76","16,92","16,74","475,46K","0,30%"
"13.06.2025","16,74","16,91","17,00","16,68","1,26M","-1,18%"
"12.06.2025","16,94","16,86","17,12","16,85","2,12M","0,24%"
"11.06.2025","16,90","17,05","17,10","16,82","408,23K","-0,88%"
"10.06.2025","17,05","16,98","17,10","16,86","1,23M","0,83%"
"09.06.2025","16,91","16,90","17,05","16,90","620,26K","0,06%"
"06.06.2025","16,90","16,90","17,09","16,86","1,41M","0,66%"
"05.06.2025","16,79","17,06","17,11","16,75","1,25M","-1,70%"
"04.06.2025","17,08","17,00","17,17","16,97","1,66M","0,23%"
"03.06.2025","17,04","17,13","17,14","16,96","545,71K","0,06%"
"02.06.2025","17,03","16,86","17,18","16,81","3,77M","0,35%"
"30.05.2025","16,97","16,93","17,09","16,77","1,29M","0,30%"
"29.05.2025","16,92","17,08","17,13","16,81","2,15M","0,06%"
"28.05.2025","16,91","16,95","17,09","16,91","264,18K","0,24%"
"27.05.2025","16,87","16,70","16,91","16,66","1,16M","1,02%"
"26.05.2025","16,70","16,51","16,93","16,51","380,41K","1,40%"
"23.05.2025","16,47","16,62","16,67","16,47","219,32K","-1,26%"
"22.05.2025","16,68","16,71","16,75","16,55","272,87K","0,48%"
"21.05.2025","16,60","16,80","16,96","16,55","967,56K","-1,66%"
"20.05.2025","16,88","16,90","16,92","16,76","456,68K","-0,12%"
