"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.12.2025","720,3","739,9","748,7","708,0","14,95K","-2,65%"
"04.12.2025","739,9","768,8","781,2","733,7","7,97K","-3,76%"
"03.12.2025","768,8","739,6","775,1","735,8","8,88K","3,96%"
"02.12.2025","739,5","679,9","751,2","675,6","10,56K","8,72%"
"01.12.2025","680,2","717,2","717,8","659,5","15,64K","-5,07%"
"30.11.2025","716,5","730,4","751,9","716,4","4,61K","-1,90%"
"29.11.2025","730,4","735,4","739,6","723,1","5,99K","-0,68%"
"28.11.2025","735,4","756,4","767,9","727,7","12,09K","-2,72%"
"27.11.2025","756,0","764,9","770,0","753,9","7,11K","-1,23%"
"26.11.2025","765,4","749,2","772,2","728,7","13,71K","2,16%"
"25.11.2025","749,2","747,4","757,4","720,2","8,95K","0,24%"
"24.11.2025","747,4","708,3","754,8","694,9","14,12K","5,52%"
"23.11.2025","708,3","692,1","724,8","692,1","9,40K","2,28%"
"22.11.2025","692,5","697,9","704,2","679,2","6,16K","-0,77%"
"21.11.2025","697,9","715,5","722,4","654,9","23,85K","-2,42%"
"20.11.2025","715,2","731,5","772,3","701,9","20,46K","-2,28%"
"19.11.2025","731,9","750,4","761,1","696,8","13,04K","-2,47%"
"18.11.2025","750,4","697,5","758,0","688,4","16,30K","7,46%"
"17.11.2025","698,3","729,7","758,0","687,1","10,82K","-4,34%"
"16.11.2025","730,0","741,7","761,6","715,2","5,61K","-1,64%"
"15.11.2025","742,2","737,1","766,9","736,8","7,64K","0,69%"
"14.11.2025","737,1","768,1","772,4","721,0","29,19K","-4,04%"
"13.11.2025","768,1","813,1","833,2","748,9","11,82K","-5,53%"
"12.11.2025","813,1","818,2","852,7","801,4","8,50K","-0,61%"
"11.11.2025","818,1","888,2","912,6","814,6","7,37K","-7,89%"
"10.11.2025","888,2","881,7","908,7","875,0","9,01K","0,75%"
"09.11.2025","881,6","846,4","892,1","830,5","6,17K","4,11%"
"08.11.2025","846,8","864,8","881,9","834,4","8,56K","-2,08%"
"07.11.2025","864,8","832,8","878,1","805,0","9,18K","3,83%"
"06.11.2025","832,9","871,3","873,8","823,5","10,03K","-4,49%"
"05.11.2025","872,1","839,9","878,8","798,4","17,39K","3,82%"
"04.11.2025","840,0","891,2","904,0","796,5","22,07K","-5,75%"
"03.11.2025","891,2","1.008,5","1.015,6","876,6","18,33K","-11,72%"
"02.11.2025","1.009,5","1.002,8","1.011,9","979,3","3,72K","0,67%"
"01.11.2025","1.002,8","1.008,2","1.010,3","990,5","3,03K","-0,54%"
"31.10.2025","1.008,2","997,6","1.025,3","993,1","5,67K","1,06%"
"30.10.2025","997,6","1.041,5","1.062,2","962,9","12,28K","-4,22%"
"29.10.2025","1.041,5","1.042,9","1.078,4","1.022,3","8,74K","-0,13%"
"28.10.2025","1.042,9","1.067,6","1.096,0","1.021,2","9,54K","-2,39%"
"27.10.2025","1.068,4","1.075,0","1.104,9","1.061,7","6,24K","-0,84%"
"26.10.2025","1.077,4","1.046,7","1.088,5","1.037,2","3,70K","2,93%"
