"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09.12.2025","11,49","11,28","11,83","11,10","121,88K","1,81%"
"08.12.2025","11,28","11,23","11,58","11,16","198,95K","0,49%"
"07.12.2025","11,23","11,14","11,56","10,95","86,51K","0,82%"
"06.12.2025","11,14","11,13","11,21","11,03","19,91K","0,08%"
"05.12.2025","11,13","11,17","11,25","10,90","92,22K","-0,38%"
"04.12.2025","11,17","11,68","11,78","11,01","56,73K","-4,36%"
"03.12.2025","11,68","11,49","11,80","11,42","152,60K","1,63%"
"02.12.2025","11,49","10,90","11,64","10,71","145,10K","5,42%"
"01.12.2025","10,90","11,58","11,60","10,62","218,32K","-5,85%"
"30.11.2025","11,58","11,83","11,88","11,58","35,79K","-2,13%"
"29.11.2025","11,83","11,68","11,90","11,62","18,02K","1,31%"
"28.11.2025","11,68","11,82","12,15","11,53","169,14K","-1,21%"
"27.11.2025","11,82","11,91","11,99","11,66","94,23K","-0,74%"
"26.11.2025","11,91","11,85","12,03","11,55","148,63K","0,52%"
"25.11.2025","11,85","12,04","12,22","11,64","152,07K","-1,55%"
"24.11.2025","12,04","11,12","12,33","11,00","141,42K","8,22%"
"23.11.2025","11,12","10,58","11,32","10,58","57,11K","5,16%"
"22.11.2025","10,58","10,57","10,67","10,24","38,62K","0,00%"
"21.11.2025","10,57","10,70","10,84","9,82","256,94K","-1,17%"
"20.11.2025","10,70","11,27","11,45","10,56","148,07K","-5,04%"
"19.11.2025","11,27","11,81","11,83","10,82","131,34K","-4,62%"
"18.11.2025","11,81","11,54","11,93","11,25","87,40K","2,34%"
"17.11.2025","11,54","11,80","12,22","11,27","104,02K","-2,17%"
"16.11.2025","11,80","11,91","12,12","11,49","82,26K","-0,93%"
"15.11.2025","11,91","11,94","12,24","11,78","50,67K","-0,18%"
"14.11.2025","11,93","12,35","12,40","11,82","176,55K","-3,34%"
"13.11.2025","12,35","12,66","13,39","12,10","184,83K","-2,48%"
"12.11.2025","12,66","12,66","12,98","12,28","83,16K","0,00%"
"11.11.2025","12,66","13,42","13,61","12,58","182,63K","-5,36%"
"10.11.2025","13,37","12,67","13,72","12,59","193,86K","5,57%"
"09.11.2025","12,67","12,26","12,81","12,00","64,57K","3,34%"
"08.11.2025","12,26","12,37","12,47","12,01","44,40K","-0,94%"
"07.11.2025","12,37","11,88","12,65","11,56","120,20K","4,19%"
"06.11.2025","11,88","12,58","12,93","11,69","166,96K","-5,44%"
"05.11.2025","12,56","11,95","12,75","11,40","125,71K","5,06%"
"04.11.2025","11,96","12,40","12,70","11,24","271,44K","-3,60%"
